Date_ymd,Recorder,Richness_ID,Density_ID,Rep,Biomass_Type,Species_ID,Individual_ID,Biomass_g,Bag_type,Comments
2023-07-22,JD,M4,D3,1,AB,ANGE,-,0.2202,E,
2023-07-23,GX,M1,D3,H2,AB,CIAR,C03,2.8076,S,"Typo; originally labelled as ""2022-07-23"" but relabeled to ""2023-07-23""; Relabelled as ""C03 (2024-04-22)"
2023-07-21,JD,M4,D2,1,AB,ANGE,-,1.7256,S,
2023-07-20,JD,M1,D3,R1,AB,RUHI,-,6.3009,S,
2023-07-22,JD,M4,D3,1,BM,ANGE,-,0.2358,E,
2023-07-06,RC,M1,-,C1,AB,CIAR,C01,2.7246,S,
2023-07-19,JD,M1,D3,M1,BM,MOFI,-,7.2531,S,
2023-07-22,JD,M4,D3,1,BM,HEHE,-,0.1335,E,
2023-07-21,JD,M2,D3,1,AB,ANGE,-,1.5461,S,
2023-07-22,JD,M4,D3,1,AB,HEHE,-,0.1466,E,
2023-07-21,JD,M4,D2,1,BM,CIAR,-,0.0847,E,Unsorted root biomass (JD)
2023-07-21,JD,M2,D3,1,BM,CIAR,-,0.0864,E,Unsorted root biomass (JD)
2023-07-22,JD,M4,D3,1,BM,CIAR,-,0.2716,E,Unsorted root biomass (JD)
2023-07-17,GX,M4,D1,1,BM,CIAR,-,0.9352,E,unsorted (GX)
2023-07-21,JD,M4,D2,1,BM,CIAR,C01,0.0381,E,Individual 1 (JD)
2023-07-21,JD,M4,D2,1,AB,CIAR,C01,0.0947,E,Individual 1 (JD)
2023-07-20,JD,M2,D2,1,AB,RUHI,-,8.0399,S,
2023-07-21,JD,M2,D1,4,AB,OEBI,-,2.866,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX"
2023-07-22,JD,M4,D3,1,AB,CIAR,C01,0.0421,E,Individual 1 (JD)
2023-07-14,RC,M1,D1,R1,AB,RUHI,-,3.4162,S,
2023-07-21,JD,M2,D1,4,BM,OEBI,-,0.5948,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX"
2023-07-17,GX,M4,D1,1,AB,CIAR,C01,0.2919,E,
2023-07-17,GX,M4,D1,1,BM,CIAR,C01,0.2202,E,
2023-07-10,JD,M1,D1,H2,BM,CIAR,-,0.15,E,Unsorted root biomass (JD)
2023-07-21,JD,M4,D2,1,BM,CIAR,C02,0.006,E,Individual 2 (JD)
2023-07-21,JD,M4,D2,1,AB,CIAR,C02,0.0934,E,Individual 2 (JD)
-,-,M4,D3,1,BM,CIAR,C01,-,-,"This sample was likely placed in the ""unsorted root biomass"" (2024-04-22; GX)"
2023-07-22,JD,M4,D3,1,BM,CIAR,C02,0.0473,E,Individual 2 (JD)
2023-07-21,JD,M2,D3,1,AB,CIAR,C01,0.054,E,Individual 1 (JD)
2023-07-22,JD,M4,D3,1,AB,CIAR,C02,0.1324,E,Individual 2 (JD)
2023-07-17,GX,M4,D1,1,AB,CIAR,C02,0.0188,E,
2023-07-21,JD,M4,D2,1,AB,CIAR,C03,0.044,E,Individual 3 (JD)
2023-07-19,JD,M1,D3,A1,BM,ANGE,-,7.1749,S,
2023-07-20,JD,M1,D2,A1,AB,ANGE,-,4.7141,S,
2023-07-25,JD,M1,D3,H3,BM,CIAR,-,0.8847,S,Unsorted root biomass (JD)
2023-07-19,JD,M1,D3,M1,AB,MOFI,-,5.3305,S,
2023-07-21,JD,M4,D2,1,BM,CIAR,C03,0.007,E,Individual 3 (JD)
2023-07-22,JD,M4,D3,1,BM,CIAR,C03,0.0173,E,Individual 3 (JD)
2023-07-20,RC,M2,D2,1,BM,RUHI,-,6.7504,S,
2023-07-18,RC,M1,D3,M2,AB,MOFI,-,3.4421,S,
2023-07-10,RC,M1,D1,H2,AB,CIAR,C01,2.5085,S,
2023-07-21,JD,M2,D3,1,BM,CIAR,C01,0.0314,E,Individual 1 (JD)
2023-07-22,JD,M4,D3,1,AB,CIAR,C03,0.0636,E,Individual 3 (JD)
2023-07-20,JD,M2,D2,1,AB,HEHE,-,0.1989,E,
2023-07-19,JD,M1,D3,A1,AB,ANGE,-,4.8946,S,
-,-,M4,D1,1,BM,CIAR,-,-,-,"This sample was likely placed in the ""unsorted root biomass"" (2024-04-23; GX)"
2023-07-17,RC,M4,D1,1,AB,CIAR,C03,0.932,S,
2023-07-18,RC,M1,D2,R1,BM,RUHI,-,9.5045,S,
2023-07-20,JD,M1,D2,A1,BM,ANGE,-,7.8241,S,
2023-07-17,GX,M4,D1,1,BM,CIAR,C03,0.1891,E,
2023-07-20,JD,M2,D2,1,BM,HEHE,-,0.0511,E,
2023-07-18,RC,M1,D2,R1,AB,RUHI,-,4.751,S,
2023-07-19,RC,M1,D3,A2,AB,ANGE,-,5.9189,S,
2023-07-21,JD,M4,D2,1,BM,CIAR,C04,0.0034,E,Individual 4 (JD)
2023-07-21,JD,M4,D2,1,AB,CIAR,C04,0.0047,E,Individual 4 (JD)
2023-07-17,RC,M1,D2,R2,BM,RUHI,-,6.0434,S,
2023-07-20,JD,M2,D2,1,BM,CIAR,C01,0.0587,E,
2023-07-21,JD,M2,D3,1,AB,CIAR,C02,0.0356,E,Individual 2 (JD)
2023-07-20,JD,M1,D2,A2,AB,ANGE,-,4.1525,S,
2023-07-21,JD,M2,D3,1,BM,CIAR,C02,0.0098,E,Individual 2 (JD)
2023-07-20,RC,M1,D3,R1,BM,RUHI,-,6.0323,S,
2023-07-22,JD,M4,D3,1,BM,CIAR,C04,0.0238,E,Individual 4 (JD)
2023-07-22,JD,M4,D3,1,AB,CIAR,C04,0.093,E,Individual 4 (JD)
2023-07-17,GX,M4,D1,1,AB,CIAR,C04,0.1109,E,
2023-07-17,GX,M4,D1,1,BM,CIAR,C04,0.0513,E,
2023-07-19,RC,M1,D3,A2,BM,ANGE,-,15.3017,S,
2023-07-20,JD,M1,D2,A2,BM,ANGE,-,8.7073,S,
2023-07-20,JD,M1,D2,A3,BM,ANGE,-,8.2332,S,
2023-07-21,JD,M4,D2,1,AB,CIAR,C05,0.0239,E,Individual 5 (JD)
2023-07-20,JD,M2,D2,1,AB,CIAR,C01,0.0363,E,
2023-07-21,JD,M4,D2,1,BM,ANGE,-,2.9306,S,
2023-07-21,JD,M4,D2,1,AB,RUHI,-,2.4822,S,
2023-07-22,JD,M4,D3,1,AB,CIAR,C05,0.0028,E,Individual 5 (JD)
2023-07-21,JD,M4,D2,1,BM,CIAR,C05,0.0057,E,Individual 5 (JD)
2023-07-22,JD,M4,D3,1,BM,CIAR,C05,0.0022,E,Individual 5 (JD)
2023-07-21,JD,M4,D2,1,BM,MOFI,-,0.141,S,
2023-07-20,JD,M2,D2,1,BM,CIAR,C02,0.0563,E,
2023-07-20,JD,M2,D2,1,AB,CIAR,C02,0.0614,E,
2023-07-21,JD,M4,D2,1,AB,MOFI,-,0.1587,S,
2023-07-20,JD,M2,D2,1,BM,CIAR,C03,0.0303,E,
2023-07-20,JD,M2,D2,1,AB,CIAR,C03,0.0881,E,
2023-07-20,JD,M2,D2,1,BM,CIAR,C04,0.0377,E,
2023-07-20,JD,M2,D2,1,AB,CIAR,C04,0.1006,E,
2023-07-21,JD,M4,D2,1,AB,CIAR,C06,0.0569,E,Individual 6 (JD)
2023-07-21,JD,M4,D2,1,BM,HEHE,-,0.0526,S,
2023-07-21,JD,M4,D2,1,AB,HEHE,-,0.1284,S,
2023-07-21,JD,M4,D2,1,BM,RUHI,-,2.9103,S,
2023-07-21,JD,M2,D3,1,BM,CIAR,C03,0.0022,E,Individual 3 (JD)
2023-07-30,JD,M4,D2,2,AB,ANGE,-,0.2258,E,
2023-07-21,JD,M2,D3,1,AB,CIAR,C03,0.0088,E,Individual 3 (JD)
2023-07-20,JD,M1,D3,R4,BM,CIAR,C01,0.0015,E,Individual 1 (JD)
2023-07-20,JD,M1,D3,R4,AB,CIAR,C01,0.0095,E,Individual 1 (JD)
2023-07-20,JD,M1,D3,R4,BM,CIAR,C02,0.0004,E,Individual 2 (JD)
2023-07-21,JD,M4,D2,1,BM,CIAR,C06,0.0089,E,Individual 6 (JD)
2023-07-21,JD,M2,D3,1,AB,CIAR,C04,0.0041,E,Individual 4 (JD)
2023-07-22,JD,M4,D2,2,BM,ANGE,-,0.1889,E,
2023-07-21,JD,M2,D3,1,BM,CIAR,C04,0.0006,E,Individual 4 (JD)
2023-07-22,GX,M4,D3,1,AB,MOFI,-,1.4091,S,"Typo; originally labelled as ""2022-07-23"" but relabeled to ""2023-07-23"""
2023-07-21,JD,M2,D3,1,BM,ANGE,-,1.8845,S,
2023-07-20,JD,M1,D3,R4,AB,CIAR,C02,0.0169,E,Individual 2 (JD)
2023-07-22,JD,M4,D3,1,BM,MOFI,-,1.2645,S,
2023-07-22,JD,M4,D3,1,AB,RUHI,-,1.9753,S,
2023-07-28,JD,M4,D2,2,BM,HEHE,-,0,-,
2023-07-21,RC,M2,D3,1,BM,RUHI,-,3.869,S,
2023-07-21,RC,M2,D3,1,AB,RUHI,-,4.5067,S,
2023-07-20,JD,M2,D3,2,BM,HEHE,-,0.1661,S,
2023-07-22,JD,M4,D3,1,AB,CIAR,C06,0.0049,E,Individual 6 (JD)
2023-07-20,JD,M2,D3,2,BM,MOFI,-,5.0759,S,
2023-07-20,JD,M1,D3,R4,BM,CIAR,C03,0.0015,E,Individual 3 (JD)
2023-07-20,JD,M1,D3,R4,AB,CIAR,C03,0.0071,E,Individual 3 (JD)
2023-07-20,JD,M1,D3,R4,AB,CIAR,C04,0.0071,E,Individual 4 (JD)
2023-07-20,JD,M2,D3,2,BM,CIAR,-,0.7019,E,Unsorted root biomass (JD)
2023-07-20,JD,M2,D3,2,BM,CIAR,C01,0.1043,E,
2023-07-20,JD,M1,D3,R4,BM,CIAR,C04,0.0073,E,Individual 4 (JD)
2023-07-20,JD,M1,D3,R4,AB,CIAR,C05,0.0061,E,Individual 5 (JD)
2023-07-20,JD,M1,D2,A1,AB,CIAR,C01,0.0747,E,
2023-07-20,JD,M2,D3,2,AB,CIAR,C01,0.3578,E,
2023-07-21,JD,M2,D2,2,BM,OEBI,-,2.524,S,
2023-07-22,JD,M4,D3,1,BM,RUHI,-,1.4525,S,
2023-07-21,JD,M2,D2,2,BM,MOFI,-,0.5307,S,
2023-07-20,JD,M2,D3,2,AB,CIAR,C02,0.2769,E,
2023-07-28,JD,M4,D2,2,AB,HEHE,-,0.0098,E,
2023-07-22,JD,M4,D2,2,AB,MOFI,-,0.1669,E,
2023-07-22,JD,M4,D2,2,BM,MOFI,-,0.1013,E,
2023-07-22,JD,M4,D2,2,AB,OEBI,-,9.3517,S,
2023-07-22,JD,M4,D2,2,BM,CIAR,C01,0.015,E,Individual 1 (JD)
2023-07-22,JD,M4,D2,2,AB,CIAR,C01,0.0584,E,Individual 1 (JD)
2023-07-22,JD,M4,D2,2,BM,CIAR,C02,0.0002,E,Individual 2 (JD)
2023-07-21,JD,M2,D2,2,AB,MOFI,-,0.899,S,
2023-07-21,JD,M2,D2,2,BM,-,-,2.0854,S,"Unsorted root biomass, unable to tell the species (JD)"
2023-07-21,RC,M2,D2,2,AB,OEBI,-,3.8636,S,"Originally labelled as ""OBEI"" but relabeled as ""OEBI"" by GX"
2023-07-21,JD,M2,D2,2,AB,CIAR,C01,0.0198,E,
2023-07-21,JD,M2,D2,2,BM,CIAR,C01,0.011,E,
2023-07-22,JD,M4,D2,2,AB,CIAR,C02,0.0052,E,Individual 2 (JD)
2023-07-21,JD,M2,D2,2,BM,CIAR,C02,0.0127,E,
2023-07-21,JD,M2,D2,2,AB,CIAR,C02,0.0156,E,
2023-07-21,JD,M2,D2,2,AB,CIAR,C03,0.0099,E,
2023-07-22,JD,M4,D2,2,AB,CIAR,C03,0.0061,E,Individual 3 (JD)
2023-07-22,JD,M4,D2,2,BM,OEBI,-,3.4224,S,
2023-07-22,JD,M4,D2,2,BM,CIAR,C03,0.0012,E,Individual 3 (JD)
2023-07-22,JD,M4,D2,3,BM,ANGE,-,0.0959,E,
2023-07-22,JD,M4,D2,3,AB,ANGE,-,0.2051,E,
2023-07-22,JD,M4,D2,3,AB,MOFI,-,0.7903,E,
2023-07-22,JD,M4,D2,3,BM,MOFI,-,0.719,E,
2023-07-22,GX,M4,D2,3,AB,OEBI,-,10.4031,S,
2023-07-22,JD,M4,D2,3,BM,OEBI,-,1.9817,S,
2023-07-22,JD,M4,D2,3,AB,RUHI,-,1.0021,S,
2023-07-21,JD,M4,D3,2,BM,ANGE,-,0.5191,E,
2023-07-21,JD,M2,D2,2,BM,CIAR,C03,0.0052,E,
2023-07-21,JD,M4,D3,2,AB,ANGE,-,0.5194,E,
2023-07-21,JD,M4,D3,2,BM,HEHE,-,0.0948,E,
2023-07-21,JD,M4,D3,2,BM,CIAR,-,0.1564,E,Unsorted root biomass (JD)
2023-07-21,JD,M4,D3,2,AB,HEHE,-,0.1375,E,
2023-07-21,JD,M4,D3,2,BM,MOFI,-,0.3446,S,
2023-07-21,JD,M4,D3,2,AB,MOFI,-,0.218,E,
2023-07-21,JD,M4,D3,2,BM,OEBI,-,1.7463,S,
2023-07-21,JD,M4,D3,2,AB,OEBI,-,2.6696,S,
2023-07-21,JD,M4,D3,2,BM,CIAR,C01,0.0781,E,Individual 1 (JD)
2023-07-21,JD,M4,D3,2,AB,CIAR,C01,0.2089,E,Individual 1 (JD)
2023-07-21,JD,M4,D3,2,AB,CIAR,C02,0.0318,E,Individual 2 (JD)
-,-,M4,D3,2,BM,CIAR,C02,-,-,"This sample was likely placed in the ""unsorted root biomass"" (2024-04-22; GX)"
2023-07-21,JD,M4,D3,2,BM,CIAR,C03,0.0314,E,Individual 3 (JD)
2023-07-21,JD,M4,D3,2,AB,CIAR,C03,0.0605,E,
2023-07-23,JD,M4,D3,3,BM,ANGE,-,1.3938,S,
2023-07-23,JD,M4,D3,3,AB,MOFI,-,0.1983,E,
2023-07-23,JD,M4,D3,3,AB,CIAR,C01,0.099,E,Individual 1 (JD)
2023-07-23,JD,M4,D3,3,AB,ANGE,-,0.8957,E,
2023-07-23,JD,M4,D3,3,BM,MOFI,-,0.1244,E,
2023-07-23,JD,M4,D2,3,BM,-,-,1.2601,S,"Unsorted root biomass, unable to tell the species (JD)"
2023-07-23,JD,M4,D3,3,BM,CIAR,C01,0.0311,E,Individual 1 (JD)
-,-,M1,D2,A1,BM,CIAR,C01,-,-,Triple-checked the envelopes; a minor concern since I will likely exclude the root biomass
2023-07-20,JD,M1,D3,R3,BM,CIAR,C01,0.1543,E,Individual 1 (JD)
2023-07-20,JD,M1,D3,R3,AB,CIAR,C01,0.3009,E,Individual 1 (JD)
-,-,M2,D3,2,BM,CIAR,C02,-,-,"This sample was likely placed in the ""unsorted root biomass"" (2024-04-22; GX)"
2023-07-20,JD,M2,D3,2,BM,CIAR,C03,0.0038,E,
2023-07-20,JD,M1,D3,R3,BM,CIAR,C02,0.0027,E,Individual 2 (JD)
2023-07-20,JD,M1,D2,A1,BM,CIAR,C02,0.109,E,
2023-07-20,JD,M1,D2,A1,BM,CIAR,C02,0.2965,E,
2023-07-20,JD,M1,D2,A1,AB,CIAR,C03,0.3178,E,
2023-07-20,JD,M1,D2,A1,BM,CIAR,C03,0.0485,E,
2023-07-20,JD,M1,D3,R3,AB,CIAR,C02,0.0042,E,Individual 2 (JD)
2023-07-20,JD,M1,D3,R1,BM,CIAR,C01,0.0022,E,
2023-07-20,JD,M2,D3,2,AB,CIAR,C03,0.0102,E,
2023-07-20,JD,M2,D3,2,AB,MOFI,-,3.5678,S,
2023-07-20,JD,M1,D2,A1,BM,CIAR,C04,0.0572,E,
2023-07-20,JD,M1,D2,A1,AB,CIAR,C04,0.0519,E,
2023-07-20,JD,M2,D3,2,AB,HEHE,-,0.3621,S,
2023-07-20,JD,M2,D3,4,BM,CIAR,C01,0.0135,E,
2023-07-20,JD,M2,D3,4,AB,CIAR,C01,0.0864,E,
2023-07-20,JD,M2,D3,4,AB,CIAR,C02,0.0051,E,
2023-07-22,JD,M4,D2,3,BM,RUHI,-,0.1217,E,
2023-07-23,JD,M4,D2,3,BM,RUHI,-,0.7002,S,
2023-07-20,JD,M2,D3,4,BM,CIAR,C02,0.0033,E,
2023-07-20,JD,M2,D3,4,AB,CIAR,C03,0.0051,E,
2023-07-20,JD,M1,D2,A1,AB,CIAR,C05,0.1991,E,
2023-07-20,JD,M1,D3,R1,AB,CIAR,C01,0.0041,E,
2023-07-20,JD,M2,D3,4,BM,CIAR,C03,0.0026,E,
2023-07-20,JD,M1,D2,A2,BM,CIAR,-,1.7731,E,Unsorted roots (JD)
2023-07-20,JD,M2,D3,4,AB,HEHE,-,0.1412,S,
2023-07-20,JD,M1,D3,R1,AB,CIAR,C02,0.0708,E,
-,-,M1,D3,R1,BM,CIAR,C02,-,-,Missing sample? (a minor concern since I will likely exclude root biomass from the analysis; 2024-04-22; GX)
2023-07-20,JD,M1,D3,R1,AB,CIAR,C03,0.0049,E,
-,-,M1,D3,R3,AB,CIAR,C03,-,-,Missing sample? (2024-04-22; GX)
-,-,M1,D3,R3,BM,CIAR,C03,-,-,Missing sample? A minor concern since I will likely exclude root biomass from the analysis (2024-04-22; GX)
-,-,M1,D3,R3,AB,CIAR,C04,-,-,Missing sample? (2024-04-22; GX)
-,-,M1,D3,R3,BM,CIAR,C04,-,-,Missing sample? A minor concern since I will likely exclude root biomass from the analysis (2024-04-22; GX)
2023-07-20,JD,M1,D3,R3,BM,CIAR,C05,0.0028,E,Individual 5 (JD)
2023-07-20,JD,M2,D3,4,BM,HEHE,-,0.141,S,
2023-07-20,JD,M1,D2,A2,AB,CIAR,C01,0.9292,S,Individual 1 (JD)
2023-07-20,JD,M2,D3,4,BM,OEBI,-,2.9164,S,
2023-07-20,JD,M2,D3,4,AB,OEBI,-,5.3919,S,
2023-07-20,JD,M1,D2,A2,BM,CIAR,C01,0.0939,E,
2023-07-22,JD,M4,D2,3,BM,-,-,1.659,S,"Unsorted root biomass, unable to tell the species (JD)"
2023-07-23,JD,M4,D2,3,AB,RUHI,-,1.3408,S,
2023-07-23,JD,M4,D2,3,BM,CIAR,-,0.18,E,Unsorted root biomass (JD)
2023-07-29,JD,M4,D2,3,AB,CIAR,C01,0.0153,E,
2023-07-22,JD,M4,D2,3,BM,CIAR,C01,0.0028,E,
2023-07-22,JD,M4,D2,3,AB,CIAR,C02,0.0106,E,
2023-07-23,JD,M4,D2,3,BM,CIAR,C02,0.0059,E,
2023-07-21,GX,M4,D3,4,BM,ANGE,-,0.4237,S,
2023-07-21,JD,M4,D3,4,AB,ANGE,-,0.4606,S,
2023-07-20,JD,M1,D3,R1,BM,CIAR,C03,0.0021,E,
2023-07-21,JD,M4,D3,4,AB,HEHE,-,0.1196,S,
2023-07-21,JD,M2,D2,2,AB,CIAR,C04,0.0033,E,
2023-07-21,JD,M2,D2,2,BM,CIAR,C04,0.0239,E,
2023-07-21,JD,M2,D2,2,AB,CIAR,C05,0.0249,E,
2023-07-21,JD,M2,D2,2,BM,CIAR,C05,0.226,E,
2023-07-20,JD,M1,D3,R1,BM,CIAR,C04,0.0019,E,
2023-07-20,JD,M1,D3,R1,AB,CIAR,C04,0.0024,E,
2023-07-22,JD,M2,D2,3,AB,ANGE,-,2.6329,S,
2023-07-22,JD,M2,D2,3,BM,ANGE,-,3.1471,S,
2023-07-21,JD,M2,D2,3,AB,OEBI,-,7.0924,S,
2023-07-20,JD,M1,D3,R3,AB,CIAR,C05,0.003,E,Individual 5 (JD)
2023-07-23,JD,M4,D2,3,AB,CIAR,C02,0.0084,E,
2023-07-22,JD,M4,D2,3,AB,CIAR,C03,0.007,E,
2023-07-22,JD,M2,D3,3,BM,CIAR,-,0.0264,E,"Unsorted root biomass (JD); Originally labelled as ""M2-D2-3"" (GX)"
2023-07-22,JD,M4,D2,3,BM,CIAR,C03,0.0014,E,
2023-07-18,GX,M1,D3,R2,BM,RUHI,-,5.6438,S,
2023-07-23,JD,M4,D2,3,BM,CIAR,C03,0.0063,E,
2023-07-18,GX,M1,D3,R2,AB,RUHI,-,4.8488,S,
2023-07-21,JD,M4,D3,4,BM,HEHE,-,0.1086,S,
2023-07-21,JD,M2,D3,5,AB,RUHI,-,2.1122,S,
2023-07-23,JD,M4,D2,3,AB,CIAR,C03,0.0079,E,
2023-07-17,GX,M4,D1,1,BM,MOFI,-,0.8571,E,
2023-07-06,RC,M1,-,C1,BM,CIAR,C01,4.2518,S,
2023-07-22,JD,M4,D2,3,AB,CIAR,C04,0.004,E,
2023-07-18,RC,M1,D3,M2,BM,MOFI,-,6.0922,S,
2023-07-21,JD,M4,D3,4,BM,OEBI,-,3.7113,S,
2023-07-22,JD,M4,D2,3,BM,CIAR,C04,0.0031,E,
2023-07-22,JD,M2,D3,3,BM,CIAR,C01,0.0189,E,"Originally labelled as ""M2-D2-3"" (GX)"
2023-07-19,JD,M1,D3,A1,BM,CIAR,-,0.4157,E,Unsorted root biomass (JD)
2023-07-21,JD,M2,D3,5,BM,CIAR,C01,0.0025,E,
2023-07-21,JD,M4,D3,4,AB,OEBI,-,5.9254,S,
2023-07-23,JD,M1,D3,H2,BM,CIAR,C03,3.4285,S,"Relabelled as ""C03 (2024-04-22)"
2023-07-21,JD,M2,D3,3,AB,CIAR,C01,0.0634,E,"Originally labelled as ""M2-D2-3"" (GX)"
2023-07-23,JD,M4,D2,3,AB,CIAR,C04,0.0102,E,
2023-07-20,JD,M1,D2,A2,AB,CIAR,C02,0.4677,E,
2023-07-21,JD,M4,D3,4,BM,CIAR,C01,0.0002,E,Individual 1 (JD)
2023-07-21,JD,M2,D1,4,BM,MOFI,-,2.3479,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX"
2023-07-23,JD,M4,D2,3,AB,CIAR,C05,0.0082,E,
2023-07-23,JD,M4,D2,3,AB,CIAR,C06,0.0086,E,
2023-07-19,GX,M1,D3,M3,AB,MOFI,-,3.0569,S,
2023-07-21,JD,M2,D1,4,AB,MOFI,-,1.7636,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX"
2023-07-21,JD,M2,D3,5,AB,CIAR,C01,0.0052,E,
2023-07-23,JD,M4,D2,3,BM,CIAR,C06,0.0073,E,
2023-07-23,JD,M4,D2,3,BM,CIAR,C07,0.0067,E,
2023-07-22,JD,M4,D3,1,BM,CIAR,C06,0.0025,E,Individual 6 (JD)
2023-07-22,JD,M2,D3,3,AB,CIAR,C02,0.1103,E,"Originally labelled as ""M2-D2-3"" (GX)"
2023-07-22,JD,M2,D3,3,BM,CIAR,C02,0.0295,E,"Originally labelled as ""M2-D2-3"" (GX)"
2023-07-21,JD,M2,D3,5,AB,CIAR,C02,0.0763,E,
2023-07-23,JD,M4,D2,3,AB,CIAR,C07,0.011,E,
2023-07-21,JD,M2,D3,5,BM,CIAR,C02,0.0192,E,
2023-07-23,JD,M4,D2,3,AB,CIAR,C08,0.0066,E,
2023-07-21,JD,M4,D3,4,AB,CIAR,C01,0.0036,E,Individual 1 (JD)
2023-07-22,JD,M2,D3,3,AB,CIAR,C03,0.0301,E,"Originally labelled as ""M2-D2-3"" (GX)"
2023-07-23,JD,M4,D2,3,BM,CIAR,C08,0.0055,E,
2023-07-10,RC,M1,D1,O1,AB,OEBI,-,6.7902,S,
2023-07-21,JD,M4,D2,4,BM,RUHI,-,0.8764,S,
2023-07-21,JD,M2,D3,5,BM,CIAR,C03,0.0017,E,
2023-07-20,GX,M1,D3,R3,BM,RUHI,-,4.5576,S,
2023-07-21,JD,M4,D2,4,AB,RUHI,-,0.7667,S,
2023-07-21,JD,M4,D3,4,BM,CIAR,C02,0.0012,E,Individual 2 (JD)
